time;target;date
5;441.119;07.01.2019
6;443.111;07.01.2019
7;457.155;07.01.2019
8;474.355;07.01.2019
9;499.64;07.01.2019
10;527.261;07.01.2019
11;559.133;07.01.2019
12;572.396;07.01.2019
13;573.392;07.01.2019
14;571.958;07.01.2019
15;567.706;07.01.2019
16;566.988;07.01.2019
17;578.985;07.01.2019
18;600.381;07.01.2019
19;598.616;07.01.2019
20;591.654;07.01.2019
21;584.101;07.01.2019
22;572.991;07.01.2019
23;549.779;07.01.2019
0;517.676;08.01.2019
1;485.831;08.01.2019
2;461.959;08.01.2019
3;449.592;08.01.2019
4;440.941;08.01.2019
5;438.613;08.01.2019
6;441.516;08.01.2019
7;460.622;08.01.2019
8;490.891;08.01.2019
9;527.55;08.01.2019
10;562.061;08.01.2019
11;595.013;08.01.2019
12;609.145;08.01.2019
13;612.296;08.01.2019
14;607.071;08.01.2019
15;600.974;08.01.2019
16;601.415;08.01.2019
17;612.895;08.01.2019
18;636.366;08.01.2019
19;634.726;08.01.2019
20;623.147;08.01.2019
21;613.715;08.01.2019
22;596.404;08.01.2019
23;565.146;08.01.2019
0;526.586;09.01.2019
1;490.225;09.01.2019
2;462.781;09.01.2019
3;451.526;09.01.2019
4;443.968;09.01.2019
5;444.199;09.01.2019
6;458.953;09.01.2019
7;500.528;09.01.2019
8;551.167;09.01.2019
9;601.595;09.01.2019
10;631.373;09.01.2019
11;645.058;09.01.2019
12;654.405;09.01.2019
13;645.4;09.01.2019
14;645.871;09.01.2019
15;645.326;09.01.2019
16;647.48;09.01.2019
17;658.086;09.01.2019
18;672.968;09.01.2019
19;670.093;09.01.2019
20;655.441;09.01.2019
21;638.735;09.01.2019
22;618.185;09.01.2019
23;589.581;09.01.2019
0;545.578;10.01.2019
1;510.644;10.01.2019
2;485.467;10.01.2019
3;472.903;10.01.2019
4;467.98;10.01.2019
5;469.934;10.01.2019
6;482.395;10.01.2019
7;521.776;10.01.2019
8;574.337;10.01.2019
9;622.522;10.01.2019
10;649.928;10.01.2019
11;664.014;10.01.2019
12;664.645;10.01.2019
13;655.043;10.01.2019
14;652.127;10.01.2019
15;649.644;10.01.2019
16;651.758;10.01.2019
17;660.28;10.01.2019
18;683.453;10.01.2019
19;685.519;10.01.2019
20;672.299;10.01.2019
21;656.303;10.01.2019
22;635.898;10.01.2019
23;605.397;10.01.2019
0;562.44;11.01.2019
1;526.955;11.01.2019
2;502.451;11.01.2019
3;491.572;11.01.2019
4;482.96;11.01.2019
5;484.816;11.01.2019
6;496.701;11.01.2019
7;541.2;11.01.2019
8;592.857;11.01.2019
9;638.386;11.01.2019
10;666.349;11.01.2019
11;676.86;11.01.2019
12;678.31;11.01.2019
13;668.341;11.01.2019
14;669.553;11.01.2019
15;669.468;11.01.2019
16;669.417;11.01.2019
17;675.894;11.01.2019
18;692.44;11.01.2019
19;683.429;11.01.2019
20;665.508;11.01.2019
21;648.204;11.01.2019
22;627.275;11.01.2019
23;594.909;11.01.2019
0;551.422;12.01.2019
1;512.523;12.01.2019
2;487.669;12.01.2019
3;473.608;12.01.2019
4;461.974;12.01.2019
5;459.145;12.01.2019
6;464.982;12.01.2019
7;487.9;12.01.2019
8;517.076;12.01.2019
9;553.876;12.01.2019
10;586.818;12.01.2019
11;611.035;12.01.2019
12;616.155;12.01.2019
13;609.754;12.01.2019
14;606.657;12.01.2019
15;603.685;12.01.2019
16;603.731;12.01.2019
17;615.753;12.01.2019
18;644.929;12.01.2019
19;644.475;12.01.2019
20;628.908;12.01.2019
21;613.957;12.01.2019
22;596.543;12.01.2019
23;570.264;12.01.2019
0;533.876;13.01.2019
1;497.263;13.01.2019
2;471.731;13.01.2019
3;457.084;13.01.2019
4;447.771;13.01.2019
5;444.988;13.01.2019
6;446.747;13.01.2019
7;462.856;13.01.2019
8;486.281;13.01.2019
9;515.416;13.01.2019
10;548.825;13.01.2019
11;580.672;13.01.2019
12;593.523;13.01.2019
13;597.763;13.01.2019
14;593.608;13.01.2019
15;594.079;13.01.2019
16;597.704;13.01.2019
17;605.235;13.01.2019
18;634.792;13.01.2019
19;632.769;13.01.2019
20;625.473;13.01.2019
21;615.133;13.01.2019
22;594.73;13.01.2019
23;560.43;13.01.2019
0;515.933;14.01.2019
1;476.292;14.01.2019
2;452.981;14.01.2019
3;441.695;14.01.2019
4;438.832;14.01.2019
5;444.297;14.01.2019
6;462.947;14.01.2019
7;508.093;14.01.2019
8;567.234;14.01.2019
9;614.285;14.01.2019
10;643.266;14.01.2019
11;656.404;14.01.2019
12;655.062;14.01.2019
13;647.662;14.01.2019
14;644.578;14.01.2019
15;640.213;14.01.2019
16;640.015;14.01.2019
17;643.296;14.01.2019
18;666.709;14.01.2019
19;668.863;14.01.2019
20;653.594;14.01.2019
21;636.024;14.01.2019
22;619.25;14.01.2019
23;585.432;14.01.2019
0;539.956;15.01.2019
1;500.713;15.01.2019
2;478.251;15.01.2019
3;466.489;15.01.2019
4;462.596;15.01.2019
5;464.175;15.01.2019
6;475.822;15.01.2019
7;521.317;15.01.2019
8;581.767;15.01.2019
9;622.777;15.01.2019
10;646.712;15.01.2019
11;657.403;15.01.2019
12;656.1;15.01.2019
13;649.221;15.01.2019
14;645.381;15.01.2019
15;644.725;15.01.2019
16;644.097;15.01.2019
17;644.426;15.01.2019
18;666.675;15.01.2019
19;666.014;15.01.2019
20;652.486;15.01.2019
21;640.995;15.01.2019
22;621.91;15.01.2019
23;588.595;15.01.2019
0;543.942;16.01.2019
1;502.007;16.01.2019
2;480.259;16.01.2019
3;468.035;16.01.2019
4;462.163;16.01.2019
5;464.27;16.01.2019
6;481.208;16.01.2019
7;525.927;16.01.2019
8;582.542;16.01.2019
9;616.275;16.01.2019
10;640.63;16.01.2019
11;650.671;16.01.2019
12;646.196;16.01.2019
13;633.629;16.01.2019
14;636.179;16.01.2019
15;636.37;16.01.2019
16;640.059;16.01.2019
17;644.681;16.01.2019
18;662.912;16.01.2019
19;660.033;16.01.2019
20;648.466;16.01.2019
21;633.047;16.01.2019
22;611.44;16.01.2019
23;577.663;16.01.2019
0;532.551;17.01.2019
1;495.713;17.01.2019
2;470.183;17.01.2019
3;461.196;17.01.2019
4;454.556;17.01.2019
5;455.094;17.01.2019
6;469.081;17.01.2019
7;515.752;17.01.2019
8;573.488;17.01.2019
9;615.922;17.01.2019
10;640.119;17.01.2019
11;655.269;17.01.2019
12;654.465;17.01.2019
13;648.621;17.01.2019
14;647.037;17.01.2019
15;641.591;17.01.2019
16;640.469;17.01.2019
17;641.666;17.01.2019
18;661.91;17.01.2019
19;663.808;17.01.2019
20;650.587;17.01.2019
21;635.972;17.01.2019
22;613.094;17.01.2019
23;572.143;17.01.2019
0;526.917;18.01.2019
1;490.388;18.01.2019
2;467.882;18.01.2019
3;455.687;18.01.2019
4;450.173;18.01.2019
5;455.806;18.01.2019
6;477.044;18.01.2019
7;523.863;18.01.2019
8;580.95;18.01.2019
9;620.299;18.01.2019
10;644.353;18.01.2019
11;655.443;18.01.2019
12;651.497;18.01.2019
13;640.544;18.01.2019
14;640.996;18.01.2019
15;644.023;18.01.2019
16;639.15;18.01.2019
17;639.249;18.01.2019
18;659.108;18.01.2019
19;665.146;18.01.2019
20;651.35;18.01.2019
21;633.403;18.01.2019
22;617.398;18.01.2019
23;587.574;18.01.2019
0;545.266;19.01.2019
1;510.749;19.01.2019
2;484.022;19.01.2019
3;469.086;19.01.2019
4;461.474;19.01.2019
5;458.568;19.01.2019
6;464.743;19.01.2019
7;486.408;19.01.2019
8;518.016;19.01.2019
9;557.298;19.01.2019
10;590.561;19.01.2019
11;611.938;19.01.2019
12;617.558;19.01.2019
13;610.643;19.01.2019
14;603.866;19.01.2019
15;599.615;19.01.2019
16;600.633;19.01.2019
17;606.341;19.01.2019
18;640.068;19.01.2019
19;642.981;19.01.2019
20;631.389;19.01.2019
21;614.786;19.01.2019
22;598.455;19.01.2019
23;572.046;19.01.2019
0;536.856;20.01.2019
1;502.079;20.01.2019
2;478.04;20.01.2019
3;464.489;20.01.2019
4;456.643;20.01.2019
5;453.061;20.01.2019
6;457.723;20.01.2019
7;471.649;20.01.2019
8;494.315;20.01.2019
9;524.231;20.01.2019
10;559.663;20.01.2019
11;592.342;20.01.2019
12;605.381;20.01.2019
13;604.601;20.01.2019
14;601.454;20.01.2019
15;599.544;20.01.2019
16;606.955;20.01.2019
17;612.563;20.01.2019
18;636.383;20.01.2019
19;643.333;20.01.2019
20;635.322;20.01.2019
21;625.871;20.01.2019
22;608.506;20.01.2019
23;576.21;20.01.2019
0;533.184;21.01.2019
1;498.006;21.01.2019
2;474.611;21.01.2019
3;464.183;21.01.2019
4;457.621;21.01.2019
5;459.413;21.01.2019
6;476.972;21.01.2019
7;524.887;21.01.2019
8;584.845;21.01.2019
9;626.658;21.01.2019
10;655.85;21.01.2019
11;670.741;21.01.2019
12;668.803;21.01.2019
13;659.734;21.01.2019
14;658.732;21.01.2019
15;657.238;21.01.2019
16;661.157;21.01.2019
17;660.429;21.01.2019
18;674.175;21.01.2019
19;675.1;21.01.2019
20;661.597;21.01.2019
21;649.333;21.01.2019
22;627.812;21.01.2019
23;592.759;21.01.2019
0;546.601;22.01.2019
1;508.166;22.01.2019
2;485.543;22.01.2019
3;473.236;22.01.2019
4;467.938;22.01.2019
5;469.496;22.01.2019
6;485.557;22.01.2019
7;533.283;22.01.2019
8;591.265;22.01.2019
9;631.895;22.01.2019
10;660.76;22.01.2019
11;665.577;22.01.2019
12;663.233;22.01.2019
13;652.053;22.01.2019
14;651.37;22.01.2019
15;649.935;22.01.2019
16;648.22;22.01.2019
17;648.93;22.01.2019
18;668.847;22.01.2019
19;684.876;22.01.2019
20;672.522;22.01.2019
21;659.983;22.01.2019
22;637.614;22.01.2019
23;602.714;22.01.2019
0;559.781;23.01.2019
1;523.152;23.01.2019
2;498.788;23.01.2019
3;486.437;23.01.2019
4;481.189;23.01.2019
5;482.263;23.01.2019
6;500.803;23.01.2019
7;550.495;23.01.2019
8;611.137;23.01.2019
9;650.773;23.01.2019
10;682.139;23.01.2019
11;692.705;23.01.2019
12;688.794;23.01.2019
13;670.35;23.01.2019
14;662.482;23.01.2019
15;659.108;23.01.2019
16;660.511;23.01.2019
17;658.353;23.01.2019
18;679.183;23.01.2019
19;694.077;23.01.2019
20;681.693;23.01.2019
21;669.869;23.01.2019
22;648.119;23.01.2019
23;614.727;23.01.2019
0;567.896;24.01.2019
1;528.417;24.01.2019
2;505.977;24.01.2019
3;498.0;24.01.2019
4;491.876;24.01.2019
5;493.395;24.01.2019
6;510.758;24.01.2019
7;561.231;24.01.2019
8;624.817;24.01.2019
9;664.008;24.01.2019
10;693.076;24.01.2019
11;706.64;24.01.2019
12;700.189;24.01.2019
13;685.058;24.01.2019
14;679.882;24.01.2019
15;672.849;24.01.2019
16;668.348;24.01.2019
17;670.022;24.01.2019
18;691.116;24.01.2019
19;708.672;24.01.2019
20;697.296;24.01.2019
21;681.251;24.01.2019
22;658.544;24.01.2019
23;621.699;24.01.2019
0;576.305;25.01.2019
1;537.491;25.01.2019
2;515.493;25.01.2019
3;504.864;25.01.2019
4;498.515;25.01.2019
5;501.371;25.01.2019
6;517.402;25.01.2019
7;566.477;25.01.2019
8;624.913;25.01.2019
9;669.737;25.01.2019
10;699.763;25.01.2019
11;710.456;25.01.2019
12;707.411;25.01.2019
13;695.826;25.01.2019
14;692.695;25.01.2019
15;689.304;25.01.2019
16;686.633;25.01.2019
17;685.105;25.01.2019
18;700.315;25.01.2019
19;708.291;25.01.2019
20;692.1;25.01.2019
21;676.906;25.01.2019
22;657.676;25.01.2019
23;623.894;25.01.2019
0;578.847;26.01.2019
1;538.638;26.01.2019
2;512.829;26.01.2019
3;500.753;26.01.2019
4;494.79;26.01.2019
5;492.585;26.01.2019
6;497.938;26.01.2019
7;517.822;26.01.2019
8;552.454;26.01.2019
9;588.193;26.01.2019
10;631.236;26.01.2019
11;655.799;26.01.2019
12;662.028;26.01.2019
13;652.846;26.01.2019
14;649.637;26.01.2019
15;642.854;26.01.2019
16;638.028;26.01.2019
17;639.127;26.01.2019
18;666.363;26.01.2019
19;684.165;26.01.2019
20;672.858;26.01.2019
21;656.984;26.01.2019
22;641.057;26.01.2019
23;614.926;26.01.2019
0;574.72;27.01.2019
1;538.396;27.01.2019
2;513.026;27.01.2019
3;501.166;27.01.2019
4;491.833;27.01.2019
5;486.572;27.01.2019
6;490.186;27.01.2019
7;503.095;27.01.2019
8;526.141;27.01.2019
9;553.49;27.01.2019
10;594.615;27.01.2019
11;621.292;27.01.2019
12;630.364;27.01.2019
13;625.946;27.01.2019
14;624.186;27.01.2019
15;621.912;27.01.2019
16;623.334;27.01.2019
17;628.994;27.01.2019
18;660.014;27.01.2019
19;674.075;27.01.2019
20;667.803;27.01.2019
21;655.011;27.01.2019
22;633.89;27.01.2019
23;597.287;27.01.2019
0;553.834;28.01.2019
1;517.031;28.01.2019
2;496.697;28.01.2019
3;486.298;28.01.2019
4;482.044;28.01.2019
5;485.022;28.01.2019
6;499.244;28.01.2019
7;548.856;28.01.2019
8;607.515;28.01.2019
9;646.327;28.01.2019
10;675.523;28.01.2019
11;687.801;28.01.2019
12;685.965;28.01.2019
13;675.771;28.01.2019
14;673.463;28.01.2019
15;673.713;28.01.2019
16;668.19;28.01.2019
17;664.183;28.01.2019
18;675.502;28.01.2019
19;689.655;28.01.2019
20;673.762;28.01.2019
21;658.667;28.01.2019
22;639.621;28.01.2019
23;602.414;28.01.2019
0;553.091;29.01.2019
1;510.422;29.01.2019
2;484.717;29.01.2019
3;474.34;29.01.2019
4;468.466;29.01.2019
5;468.59;29.01.2019
6;484.874;29.01.2019
7;534.85;29.01.2019
8;595.506;29.01.2019
9;634.311;29.01.2019
10;660.341;29.01.2019
11;672.176;29.01.2019
12;666.011;29.01.2019
13;655.944;29.01.2019
14;660.783;29.01.2019
15;658.448;29.01.2019
16;657.893;29.01.2019
17;652.846;29.01.2019
18;671.032;29.01.2019
19;681.304;29.01.2019
20;665.303;29.01.2019
21;651.671;29.01.2019
22;628.063;29.01.2019
23;590.382;29.01.2019
0;541.678;30.01.2019
1;502.383;30.01.2019
2;478.301;30.01.2019
3;469.569;30.01.2019
4;464.99;30.01.2019
5;467.281;30.01.2019
6;484.22;30.01.2019
7;535.189;30.01.2019
8;594.607;30.01.2019
9;636.979;30.01.2019
10;668.158;30.01.2019
11;671.901;30.01.2019
12;668.944;30.01.2019
13;652.85;30.01.2019
14;648.917;30.01.2019
15;645.557;30.01.2019
16;641.894;30.01.2019
17;638.035;30.01.2019
18;656.417;30.01.2019
19;682.645;30.01.2019
20;673.934;30.01.2019
21;660.711;30.01.2019
22;639.011;30.01.2019
23;601.618;30.01.2019
0;551.764;31.01.2019
1;509.703;31.01.2019
2;486.041;31.01.2019
3;476.1;31.01.2019
4;471.236;31.01.2019
5;473.084;31.01.2019
6;490.386;31.01.2019
7;540.404;31.01.2019
8;603.175;31.01.2019
9;645.177;31.01.2019
10;673.782;31.01.2019
11;682.5;31.01.2019
12;681.315;31.01.2019
13;668.784;31.01.2019
14;667.103;31.01.2019
15;663.497;31.01.2019
16;663.962;31.01.2019
17;663.172;31.01.2019
18;672.195;31.01.2019
19;686.187;31.01.2019
20;674.494;31.01.2019
21;661.116;31.01.2019
22;636.278;31.01.2019
23;601.936;31.01.2019
0;557.528;01.02.2019
1;519.482;01.02.2019
2;494.38;01.02.2019
3;484.917;01.02.2019
4;478.837;01.02.2019
5;478.951;01.02.2019
6;493.133;01.02.2019
7;538.0;01.02.2019
8;592.102;01.02.2019
9;627.539;01.02.2019
10;658.514;01.02.2019
11;668.653;01.02.2019
12;664.161;01.02.2019
13;651.688;01.02.2019
14;652.217;01.02.2019
15;644.469;01.02.2019
16;641.64;01.02.2019
17;643.544;01.02.2019
18;659.537;01.02.2019
19;674.6;01.02.2019
20;661.604;01.02.2019
21;641.414;01.02.2019
22;622.728;01.02.2019
23;589.524;01.02.2019
0;544.429;02.02.2019
1;508.646;02.02.2019
2;484.459;02.02.2019
3;471.808;02.02.2019
4;466.778;02.02.2019
5;464.861;02.02.2019
6;472.076;02.02.2019
7;489.581;02.02.2019
8;522.901;02.02.2019
9;560.702;02.02.2019
10;603.991;02.02.2019
11;632.195;02.02.2019
12;638.212;02.02.2019
13;635.086;02.02.2019
14;628.948;02.02.2019
15;621.278;02.02.2019
16;617.556;02.02.2019
17;614.906;02.02.2019
18;637.766;02.02.2019
19;650.21;02.02.2019
20;634.365;02.02.2019
21;616.5;02.02.2019
22;600.094;02.02.2019
23;568.111;02.02.2019
0;525.217;03.02.2019
1;490.484;03.02.2019
2;466.514;03.02.2019
3;453.986;03.02.2019
4;447.081;03.02.2019
5;442.19;03.02.2019
6;448.622;03.02.2019
7;462.746;03.02.2019
8;484.1;03.02.2019
9;509.342;03.02.2019
10;551.2;03.02.2019
11;583.415;03.02.2019
12;595.694;03.02.2019
13;593.352;03.02.2019
14;590.535;03.02.2019
15;586.164;03.02.2019
16;585.953;03.02.2019
17;591.092;03.02.2019
18;614.247;03.02.2019
19;630.626;03.02.2019
20;622.595;03.02.2019
21;615.844;03.02.2019
22;600.672;03.02.2019
23;570.342;03.02.2019
0;529.638;04.02.2019
1;496.13;04.02.2019
2;470.468;04.02.2019
3;458.733;04.02.2019
4;447.993;04.02.2019
5;448.024;04.02.2019
6;463.146;04.02.2019
7;509.111;04.02.2019
8;558.32;04.02.2019
9;594.49;04.02.2019
10;628.105;04.02.2019
11;642.532;04.02.2019
12;644.885;04.02.2019
13;637.389;04.02.2019
14;638.126;04.02.2019
15;636.746;04.02.2019
16;634.946;04.02.2019
17;630.38;04.02.2019
18;637.976;04.02.2019
19;658.182;04.02.2019
20;645.363;04.02.2019
21;628.53;04.02.2019
22;610.947;04.02.2019
23;576.827;04.02.2019
0;533.346;05.02.2019
1;492.477;05.02.2019
2;470.263;05.02.2019
3;458.689;05.02.2019
4;454.323;05.02.2019
5;458.107;05.02.2019
6;473.508;05.02.2019
7;519.389;05.02.2019
8;573.687;05.02.2019
9;609.675;05.02.2019
10;642.94;05.02.2019
11;654.967;05.02.2019
12;652.185;05.02.2019
13;643.06;05.02.2019
14;644.009;05.02.2019
15;642.839;05.02.2019
16;644.619;05.02.2019
17;642.984;05.02.2019
18;649.863;05.02.2019
19;668.009;05.02.2019
20;654.592;05.02.2019
21;636.929;05.02.2019
22;616.585;05.02.2019
23;579.981;05.02.2019
0;532.765;06.02.2019
1;495.556;06.02.2019
2;470.823;06.02.2019
3;461.497;06.02.2019
4;455.432;06.02.2019
5;454.991;06.02.2019
6;469.815;06.02.2019
7;516.508;06.02.2019
8;566.796;06.02.2019
9;601.281;06.02.2019
10;638.765;06.02.2019
11;649.037;06.02.2019
12;648.032;06.02.2019
13;637.162;06.02.2019
14;636.559;06.02.2019
15;633.05;06.02.2019
16;630.441;06.02.2019
17;626.526;06.02.2019
18;633.665;06.02.2019
19;655.504;06.02.2019
20;641.97;06.02.2019
21;624.75;06.02.2019
22;607.986;06.02.2019
23;571.37;06.02.2019
0;526.092;07.02.2019
1;488.579;07.02.2019
2;465.22;07.02.2019
3;455.069;07.02.2019
4;450.906;07.02.2019
5;450.366;07.02.2019
6;465.892;07.02.2019
7;509.874;07.02.2019
8;563.352;07.02.2019
9;600.957;07.02.2019
10;634.527;07.02.2019
11;644.372;07.02.2019
12;643.246;07.02.2019
13;631.808;07.02.2019
14;623.054;07.02.2019
15;614.532;07.02.2019
16;610.885;07.02.2019
17;610.061;07.02.2019
18;621.152;07.02.2019
19;649.261;07.02.2019
20;638.045;07.02.2019
21;621.018;07.02.2019
22;605.192;07.02.2019
23;567.289;07.02.2019
0;518.526;08.02.2019
1;475.579;08.02.2019
2;451.807;08.02.2019
3;441.289;08.02.2019
4;436.142;08.02.2019
5;436.725;08.02.2019
6;453.192;08.02.2019
7;499.789;08.02.2019
8;555.682;08.02.2019
9;593.222;08.02.2019
10;628.276;08.02.2019
11;633.616;08.02.2019
12;624.089;08.02.2019
13;614.141;08.02.2019
14;619.139;08.02.2019
15;618.399;08.02.2019
16;612.816;08.02.2019
17;608.586;08.02.2019
18;617.428;08.02.2019
19;638.496;08.02.2019
20;627.894;08.02.2019
21;610.22;08.02.2019
22;594.642;08.02.2019
23;563.43;08.02.2019
0;525.788;09.02.2019
1;491.594;09.02.2019
2;468.694;09.02.2019
3;455.952;09.02.2019
4;448.564;09.02.2019
5;446.213;09.02.2019
6;453.455;09.02.2019
7;474.566;09.02.2019
8;502.499;09.02.2019
9;535.81;09.02.2019
10;577.369;09.02.2019
11;600.516;09.02.2019
12;606.386;09.02.2019
13;599.945;09.02.2019
14;595.857;09.02.2019
15;592.52;09.02.2019
16;594.318;09.02.2019
17;599.669;09.02.2019
18;610.263;09.02.2019
19;627.502;09.02.2019
20;614.805;09.02.2019
21;598.744;09.02.2019
22;579.56;09.02.2019
23;549.573;09.02.2019
0;514.232;10.02.2019
1;480.833;10.02.2019
2;457.99;10.02.2019
3;444.709;10.02.2019
4;438.453;10.02.2019
5;435.483;10.02.2019
6;441.697;10.02.2019
7;457.102;10.02.2019
8;476.447;10.02.2019
9;500.916;10.02.2019
10;544.16;10.02.2019
11;567.031;10.02.2019
12;571.998;10.02.2019
13;563.508;10.02.2019
14;557.365;10.02.2019
15;551.144;10.02.2019
16;550.238;10.02.2019
17;556.714;10.02.2019
18;582.241;10.02.2019
19;608.354;10.02.2019
20;607.437;10.02.2019
21;594.923;10.02.2019
22;578.613;10.02.2019
23;546.136;10.02.2019
0;504.654;11.02.2019
1;469.418;11.02.2019
2;446.796;11.02.2019
3;436.087;11.02.2019
4;428.378;11.02.2019
5;430.939;11.02.2019
6;448.274;11.02.2019
7;492.68;11.02.2019
8;542.175;11.02.2019
9;578.832;11.02.2019
10;614.345;11.02.2019
11;626.723;11.02.2019
12;628.594;11.02.2019
13;624.24;11.02.2019
14;624.81;11.02.2019
15;625.419;11.02.2019
16;624.465;11.02.2019
17;620.345;11.02.2019
18;625.336;11.02.2019
19;641.488;11.02.2019
20;627.605;11.02.2019
21;613.201;11.02.2019
22;594.059;11.02.2019
23;557.069;11.02.2019
0;509.542;12.02.2019
1;469.389;12.02.2019
2;447.928;12.02.2019
3;437.287;12.02.2019
4;431.14;12.02.2019
5;433.354;12.02.2019
6;449.243;12.02.2019
7;494.576;12.02.2019
8;548.42;12.02.2019
9;586.293;12.02.2019
10;619.927;12.02.2019
11;629.347;12.02.2019
12;624.997;12.02.2019
13;617.153;12.02.2019
14;617.486;12.02.2019
15;611.397;12.02.2019
16;603.273;12.02.2019
17;598.64;12.02.2019
18;599.833;12.02.2019
19;632.138;12.02.2019
20;626.516;12.02.2019
21;611.197;12.02.2019
22;594.768;12.02.2019
23;561.254;12.02.2019
0;513.016;13.02.2019
1;474.786;13.02.2019
2;452.928;13.02.2019
3;441.233;13.02.2019
4;434.908;13.02.2019
5;434.837;13.02.2019
6;452.096;13.02.2019
7;498.237;13.02.2019
8;550.802;13.02.2019
9;591.838;13.02.2019
10;630.674;13.02.2019
11;641.977;13.02.2019
12;640.806;13.02.2019
13;629.911;13.02.2019
14;629.408;13.02.2019
15;622.366;13.02.2019
16;611.021;13.02.2019
17;604.346;13.02.2019
18;593.555;13.02.2019
19;626.517;13.02.2019
20;623.852;13.02.2019
21;610.644;13.02.2019
22;594.853;13.02.2019
23;562.12;13.02.2019
0;514.986;14.02.2019
1;472.661;14.02.2019
2;450.646;14.02.2019
3;438.534;14.02.2019
4;432.772;14.02.2019
5;432.378;14.02.2019
6;449.409;14.02.2019
7;495.515;14.02.2019
8;544.612;14.02.2019
9;578.277;14.02.2019
10;610.218;14.02.2019
11;619.226;14.02.2019
12;620.146;14.02.2019
13;613.208;14.02.2019
14;617.631;14.02.2019
15;617.451;14.02.2019
16;614.773;14.02.2019
17;615.341;14.02.2019
18;617.475;14.02.2019
19;634.514;14.02.2019
